"AR_OETC_GUT "^"LETC_MQM_AR_GUT_REGIONAL"^" "^"$TOP/output"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"IN"^"vddwhsel "^"no_passwd "^"AR_GUTSCHR_REG_${YYYY}${MM}${TT}.csv.gz"^"N"^^"RM_STD"^"J"^"MIK"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"MKG_TVORTEIL2 "^"OETC_MKG_TVORTEIL2_REP_KPI_KUENDIGUNG"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^^"DAT "^"J"^^^"J"^"Q4DE8PSAZDZ"^"KPI_DATEN"^"vdtv2rep "^"no_passwd "^"TVORTEIL2_REP_KPI_KUENDIGUNG_${PERIODE}.DAT"^"N"^^"DWH_STD"^"J"^"zmp"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"AMP_CETC_B_PKT2 "^"LETC_FACH_AMPEL_WERTHALTIG_PKT2"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"D_TAB_BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"dat "^"J"^^^"N"^"Q4DE8PSAZDZ"^"IXUS_AMPEL_OUT"^"vd_ixus1 "^"no_passwd "^"FACH_AMPEL_WERTHALTIGKEITSPUNKTE2_${datum}.dat"^"J"^"FACH_AMPEL_WERTHALTIGKEITSPUNKTE2_${datum}.chk"^"RM_STD"^"J"^"MRCPM"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_KUENDKOND"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_KUENDKOND_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_KUENDKOND_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_MELDUNGSPOSATTRIBUTE"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_MELDUNGSPOSITIONATTRIBUTE_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_MELDUNGSPOSITIONATTRIBUTE_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_PLANABSPR"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_PLANABSPR_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_PLANABSPR_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_PREISLISTE"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_PREISLISTE_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_PREISLISTE_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_SONDERVERTRAG"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_SONDERVERTRAG_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_SONDERVERTRAG_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_E_STANDORT"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_D_E_STANDORT_$SPOOLTIME.csv.gz"^"J"^"WITA_D_E_STANDORT_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_KWT_ZEIT_CLUSTER"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_KWT_ZEIT_CLUSTER_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_KWT_ZEIT_CLUSTER_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_BEREITSTELLUNGSDAUER"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_BEREITSTELLUNGSDAUER_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_BEREITSTELLUNGSDAUER_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_AUFTRAGST_EINH_VLT_ROLAP"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_AUFTRAGST_EINH_VLT_ROLAP_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_AUFTRAGST_EINH_VLT_ROLAP_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_KWT_VERZOEG_CLUST_ROLAP"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG,GRENZWERT_OBEN,GRENZWERT_UNTEN"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_KWT_VERZOEG_CLUST_ROLAP_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_KWT_VERZOEG_CLUST_ROLAP_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_GESCHAEFTSFALL_PV"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_GESCHAEFTSFALL_PV_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_GESCHAEFTSFALL_PV_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
